Id_UT	Toponimo	Comune	Tav_IGM	Masl	Tipologia_UT	Tipologia_Sito	Descrizione	X	Y	Compilatore	Responsabile	m x m	Ha	Latitudine	Longitudine	Anomalia
R109	Masseria Beneventano	Lentini	F. 269 II SO	110	Area di frammenti	n.d.	Un'area di frammenti fittili è stata individuata ai margini NE di Poggio Fiumefreddo (vedi UT R108): la ricognizione condotta all'interno di un uliveto raggiungibile dalla SS 385, a circa 300 metri dalla masseria Beneventano, ha evidenziato la presenza di una rada area di frammenti fittili (m 20 x 20). La presenza di una scheggia di basalto tra il materiale rinvenuto potrebbe indicare una frequentazione del sito già in età preistorica; il resto dei materiali sembra attestare un'occupazione del sito in età protostorica e poi, dopo un lungo periodo di abbandono, in età tardo imperiale, come attestano i frammenti di rozza terracotta e l'orlo di un'anfora da trasporto databile tra III e V sec. d.C.	483471	4131850	Privitera 2003		20 x 20	0.04	37.33318	14.813415	
R10a	Monte Turcisi I	Castel di Iudica	F. 269 II NO	303	 Area di frammenti	Phrourion	Monte Turcisi (m 303 slm) è un'altura dalle pareti scoscese che domina da E la Piana di Catania, estema propoaggine dei monti Erei che s'incunea tra la valle del Fiume Dittaino a N e la valle del fiume Gomalunga a S. Sulla sommità del monte sono i resti di un phourion costruito in opera di blocchi calcarei isodomi: scoperto negli anni Settanta del secolo scorso da E. Procelli, il sito è attualmente oggetto di ricerche da parte di M. Jonasch. La ricognizione condotta sulla superficie del sito negli anni 2002-2004 non aveva identificato aree di frammenti, se non frammenti sporadici databili tra l'età arcaica e l'età ellenistica	477887	4150062	Saitta 2005		100 x 150	1.5	37.497217	14.749834	
R10b	Monte Turcisi II S	Castel di Iudica	F. 269 II NO	132	Area di frammenti	n.d.	Un'area di frammenti fittili (m 30 x 30) è stata individuata sotto le pendici meridionali di Monte Turcisi (R10), lungo un terreno pianeggiante, interamente arato, adibito alla coltivazione di grano. La ricognizione dell'area ha individuato numerosi frammenti preistorici che datano la frequentazione più antica dell'area tra l'Eneolitico tardo e il Bronzo Antico	477886	4150061			30 x 30	0.09	37.497217	14.749834	
R10c	Monte Turcisi III O	Castel di Iudica	F. 269 II NO	215	 Area di frammenti	n.d.	L'area di frammenti fittili (m 200 x 40) si estende lungo le pendici O del monte e lungo il pignoro che dal rilevo montuoso si allunga verso O. La maggioranza dei reperti rinvenuti nel corso delle ricognizioni ripetitute è costituita da ceramica datata tra il periodo arcaico e il periodo classico, distribuita in maniera omogenea lungo le pendici occidentali a quote diverse, mentre  ceramica ellenistica è stata trovata, esclusivamente, sulla spianata occidentale. A causa della visibilità scarsa, dovuta dalla copertura discontinua di manto erboso, l'area sommitale non ha restituito molti ritrovamenti ad eccezione di qualche strumento litico di alcuni orlo, frammenti di contenitori da trasporto e di un frammento di bacile di maiolica siciliana	477477	4150198			80 x 100	0.8	37.498438	14.745195	
R11	Contrada S. Giovanni Bellone	Castel di Iudica	F. 269 II NO	359	Area di frammenti	Fattoria	Ricognizioni ripetute hanno identificato un'area di frammenti fittili sulle pendici meridionali di monte San Giovanni, situato a NO rispetto a Monte Turcisi e a circa 3 Km da Borgo Franchetto. L'altura, lambita ad O dalla diramazione settentrionale della SP 102, è adibita alla coltivazione di cereali. Una strada sterrata, che si apre sotto il pendio settentrionale del rilievo, vicino al piccolo borgo di S. Giovanni Bellone, oggi quasi del tutto abbandonato, conduce alla sommità dell'altura, dove è possibile osservare un fenomeno di vulcanesimo secondario. Durante le ricognizioni è stato possibile osservare come i materiali, sicuramente trasportati dal dilavamento, si concentrassero tutti sulle pendici meridionali dell'altura, in un'area molto vasta, senza alcuna distribuzione specifica. Dai materiali rinvenuti, si evince che la frequentazione  del sito iniziò già in età preistorica, come testimoniano i frammenti di selce e di ceramica che si datano  dall'Eneolitico al Bronzo Antico (facies di Castelluccio). All'alta densità di rinvenimenti preistorici fa eco il numero esiguo di frammenti pertinenti ai periodi successivi; l'età arcaica è rappresentata da tre  frammenti, uno di anfora o hydria con ansa a bastoncello, uno di coppetta di fabbricazione indigena ed uno di anfora cosiddetta "ionico massaliota". I materiali riconducibili alla fase di frequentazione ellenistica sono riferibili all'ambito domestico (fr. di orlo di un mortaio, IV sec. a.C.; fr. di terracotta figurata). Non sono stati identificati reperti databili tra la fine dell'età repubblicana e il I sec. d.C.: l'area fu probabilmente di nuovo abitata a partire dalla media età imperiale, come attesta la presenza di Sigillata Africana  databile alla prima metà del III sec. d.C. (Lamboglia 43)	474490	4150284	Saitta 2005		80 x 50	0.4	37.499131	14.711397	
R110	Vallone Petroso	Catenanuova	F. 269 I SO	213	Area di frammenti	n.d.	L'area indagata è ubicata a NO di Sferro, compresa in un territorio dalla conformazione argillosa e brulla, che prende il nome da un stretta valle fluviale che l'attraversa in senso EO. La ricognizione è avvenuta in prossimità del torrente, area a visibilità assai scarsa, in parte coltivata ad uliveto: l'area di frammenti (m 10 x 20) si estende al di sotto del cavalcavia al km 18 della SP 24bis: in prossimità del torrente sono stati rinvenuti rari frammenti di ceramica romana pertinenti ad anfore da trasporto della tarda età imperiale e tegole. A ca m 10 a NE dell'area dei frammenti è stata individuata una tomba a grotticella artificiale, scavata in un costone roccioso di calcare. La tomba appare visibilmente rimaneggiata, allargata e provvista di un ingresso a mattoni per essere probabilmente adibita a magazzino o a stalla per il ricovero degli animali da pascolo. La struttura funeraria presenta un ingresso rivolto a SE; gli assi misurano rispettivamente m 3,97 (larg.) e 4,71 (prof.), mentre la sezione curva raggiunge un'altezza massima di m 2,14 (fig. X)	474114	4159320	Maria 2008		10 x 20	0.02	37.580566	14.706824	
R111	Masseria Cuba	Catenanuova	F. 269 I SO	130	Area di frammenti	Fattoria	L'area di frammenti fittili è situata in prossimità della masseria Cuba, edificio rurale che sorge a ca m 130 dalla SS192, a N del fiume Dittaino. Le ricognizioni, ripetute in varie condizioni di visibilità, si sono concentrate un'ampia area (ha 14,09) incolta. La ricerca sul campo ha individuato una vasta area di frammenti (m 150 x 200), la cui distribuzione non è omogenea. Nel settore N si concentra una notevole quantità di frammenti di ceramica e manufatti di industria lirica attribuibili alla cultura di Castelluccio e un frammento di ciotola carenata del tipo Rodì-Tindari-Vallelunga. Su tutta l'area, in maniera omogenea, è stato rinvenuto materiale cronologicamente inquadrabile in età imperiale, in particolare laterizi, Sigillata africana (A-C-D) e una abbondante quantità di frammenti e anse di anfore da trasporto	474236	4156533	Maria 2008		150 x 200	3	37.555449	14.708315	
R112	Fondaco Cuba	Centuripe	F. 269 I SO	122	Area di frammenti	n.d.	Il fondaco Cuba è situato a S dell'area in cui è stata individuata l'UT R11, separate dalla SS 192. L'edificio che sorge al centro dell'area era il fulcro nel Feudo di Cuba: alcuni cenni sulla storia del feudo ci sono dati dal J.W. Von Goethe che alloggiò nell'edificio nel 1787 e ne appuntò la storia (Goethe, Viaggio in Italia, p. 185). Oggi l'edificio è in rovina: la struttura è costituita da un complesso architettonico con sviluppo longitudinale adibito a stalla, ubicato a destra del nucleo più antico dell'edificio a due elevazioni, che un tempo era una locanda. L'edificio è circondato da un vasto campo coltivato a grano (ha 4,5): la ricognizione, condotta in occasione dell'aratura, ha identificato un'area ( m 30 x 20) di rari frammenti pertinenti soltanto ad anfore della tarda età imperiale e di ceramica comune	474061	4156446	Maria 2008		30 x 20	0.6	37.55466	14.706326	
R113	Monte Pietraperciata	Centuripe	F. 269 I SO	157	Area di frammenti	n.d.	Il monte Pietraperciata (m 205 slm) si innalza a S0 di Centuripe, a N del fiume Dittaino. Il toponimo deriva superficie dello sperone roccioso si presenta alveolata a causa dell'azione erosiva del vento. A causa della condizione di scarsa visibilità dovuta alla vegetazione, le ricognizioni in quest'area sono state ripetute più volte. Sulla sommità dell'altura è stato rinvenuto un frammento di ansa a rocchetto della facies di Diana, indizio della più antica frequentazione dell'area. Nel corso della ricognizione condotta nell'ampia area incolta ai piedi del versante SE dell'altura, è stata individuata un'area di frammenti (m 20 x 20) di ceramica della facies di Castelluccio. Sulla parete sovrastante si affacciano delle escavazioni artificiali, due delle quali sono da identificare come tombe a "tholos", cronologicamente riconducibili all'orizzonte culturale del Bronzo medio (facies di Thapsos).  La tomba che si è meglio conservata si trova sul lato SE del massiccio roccioso, al di sopra dell'area di frammenti, con l'ingresso è rivolto a S. La pianta della tomba è quasi circolare: gli assi che misurano rispettivamente m 2,08 (larg.) e 1,75 (prof.); il profilo è "tholoide" con una altezza massima di m 1,50 (fig. X). La seconda tomba è ubicata a circa m 10 dalla prima in direzione E: la pianta è circolare con ingresso rivolto a S, visibilmente rimaneggiato per accogliere il bestiame da pascolo; gli assi della tomba misurano m 3,10 (larg.) e 3,20 (prof.) con una volta "tholoide" che ha un altezza massima di m 2,64 (fig. X). Entrambe le tombe sono raggiungibili percorrendo dei sentieri intagliati nella roccia arenaria. È probabile che tali strutture siano state rimaneggiate in età successive  	477004	4155669	Maria 2008		20 x 20	0.04	37.547735	14.739681	
R114	Masseria Accitella	Centuripe	F. 269 I SO	335	Area di frammenti	Fattoria	La masseria di Accitella si trova a circa km 3 km a SE dell'abitato di Centuripe, su un ampio pianoro collocato su un alto costone roccioso (m 335 slm). La ricognizione è stata condotta sulla sommità del pianoro, ampia area coltivata a grano. L'area di frammenti fittili è assai ampia (m 150 x 100): al momento della ricognizione, le condizioni di buona visibilità hanno permesso di seguirne l'estensione sulla superficie arata, osservando la distribuzione  omogenea dei frammenti di pietrame tegole e ceramica. La maggior parte del materiale rinvenuto consiste in ceramica di età imperiale: fine da mensa, Sigillata africana (A-C-D); ceramica comune databile alla prima età imperiale (I-II sec. d.C.); anfore da trasporto (I-VI sec. d.C.); frammenti di macine romane in pietra lavica. La presenza contestuale di tali classi di materiali è un possibile indizio dell'esistenza di una ricca fattoria attiva dalla Prima età imperiale I-V sec. d.C.) fino all'Alto medioevo (IX-X sec. d.C.), periodo indiziato dal un frammento di pentola da fuoco del tipo decorato a stuoia. Ricognizioni ripetute anche nell'area circostante hanno appurato la presenza di frammenti sparsi	477853	4159120	Maria 2008		150 x 100	1.5	37.578861	14.749176	
R115	Monte Guazzarano	Centuripe	F. 269 I SO	335	Area di frammenti	n.d.	Il monte Guazzarano è collocato ai margini N0 della piana di Catania. Poco distante dal fiume Dittaino, il monte è raggiungibile attraverso una strada sterrata che si diparte dal lato orientale dalla carreggiata della SP 92. L'altura di natura calcarea (m 440 slm), caraterizzata dalla presenza di una sorgente, domina le fertili valli pianeggianti coltivate a frumento. La ricognizione è stata condotta sulla superficie della sommità, arata al momento dell'attività sul campo. Nella vasta area (ha 12) sono state identificate due aree di frammenti distinte, R115a e R115b. La prima area di frammenti (R115a, m 15 x 10) si estende nel settore O del pianoro: fra i reperti rinvenuti si segnala la presenza di ceramica impressa della facies di Stentinello; un frammento di tazza di colore rosso corallino della facies di Diana e un frammento attribuibile alla cultura di S. Ippolito, con la tipica decorazione con motivi "a denti di lupo"; numerosi sono anche i frammenti di ceramica della facies di Castelluccio e le schegge di strumenti litici in selce, quarzarinite e basalto. La frequentazione in età greca è testimoniata da frammenti di ceramica a vernice nera databili tra il VI sec. a.C. e terzo quarto del IV sec. a.C. La ricognizione ha individuato un'altra area di frammenti (R115b, m 30 x 30) nel settore NO delle pendici del monte in prossimità della masseria Sciacca: all'interno di un campo arato coltivato a grano, è stata documentata la dispersione omogenea di pietrame, e frammenti di ceramica e di anfore attribuibili all'età imperiale (I-IV sec. d.C.). La presenza di una frequentazione del sito in epoca romana sembra essere confermata dall'analisi di alcune evidenze archeologiche rintracciate nella masseria Sciacca: qui si segnala il rinvenimento di un sarcofago (fig. X), attualmente utilizzato come abbeveratoio per gli animali. Il sarcofago a cassa (m 1,38 x 0,65 x 0,70) è ricavato in un blocco di pietra calcarea: fronte e fianchi non presentano tracce di decorazione; su uno dei lati maggiori, al centro, a cm 8 dalla base si trova il tipico foro per il deflusso dei liquidi si trova. Nel versante N dell'altura si segnala la presenza di una tomba a grotticella: l'accesso, rivolto verso N, si presenta assai rimaneggiato in età moderna: gli assi principali misurano m 2,80 (larg.) e 2,40 (prof.), mentre la sezione leggermente curva ha una altezza massima di  m 1,5 (fig. X)	478232	4158218	Maria 2008		30 x 30	0.09	37.570743	14.7535	
R116	Contrada Muglia	Centuripe	F. 269 I SO	321	Area di frammenti	n.d.	La Contrada di Muglia si estende su un rilievo di natura calcarea a m 280 slm, a N del corso del fiume Dittaino. All’area si accede direttamente dalla SP 92, dal lato occidentale. La ricognizione è stata condotta in un’ampia estensione incolta, quindi con una mediocre visibilità: le uniche strutture visibili sono quelle della vecchia masseria Muglia e di una chiesetta annessa, attualmente adibita a ricovero del bestiame di allevamento della fattoria. La prima area di frammenti (R116a, m 25 x 25) è stata individuata a SO della masseria, in un’area a scarsa visibilità a causa della vegetazione: i reperti si estendevano in maniera poco omogenea lungo il versante E della balza rocciosa. I frammenti indicano la lunga frequentazione dell’area in età preistorica, almeno dal Neolitico fino al Bronzo antico: infatti sono presenti frammenti attribuibili alla facies di Malpasso, S. Ippolito e Castelluccio. L’altra area di frammenti (R116b, m 30 x 15) è stata individuata nel settore E della contrada, in prossimità di una sorgente, all'interno di un campo arato nei pressi dei resti delle fornaci della miniera di zolfo attiva sino agli anni Venti. Il materiale indivituato consiste in frammenti di ceramica comune romana databile alla Prima età imperiale (I-II sec. d.C. e alto-medievale (IX-X sec. d.C.). La ricognizione dell’area di Muglia ha prodotto numerosi indizi della lunga storia insediativa che la contraddistingue con continuità a partire dal tardo Eneolitico (III millennio a.C.) fino all'antica età del Bronzo. Non sono documentate testimonianze della frequentazione dell'area in età greca: pochi sono gli elementi per delineare la consistenza dell’insediamento in età romana e altomedievale	477024	4158357	Maria 2008		30 x 15	0.1	37.571965	14.739816	
R117	Monte Reina	Centuripe	F. 269 I SO	180	Area di frammenti	n.d.	A SE del Monte Guazzarano si estende un sistema di basse colline, tra le quali si alza il Monte Reina, raggiungibile attraverso una strada sterrata che si diparte dalla SP 50. L’area oggetto della ricognizione è un vasto sistema di campi coltivati (ha 17), arati al momento delle ricerche sul campo. L’area di frammenti fittili (m 70 x 70) si estende a E di una masseria: il campo presentava una distribuzione omogenea di tegole, pietrame e frammenti di ceramica. Tra i frammenti rinvenuti sono stati identificati numerosi esemplari di ceramica comune (I-V sec. d.C.), anfore da trasporto e ceramica da cucina. La presenza della notevole quantità di frammenti di tegole cronologicamente attribuibili a un arco di tempo che va dal I al V sec.d.C. rende ipotizzabile l’esistenza di una fattoria attiva in età imperiale; non ci sono elementi per inquadrare le fasi più antiche dell’insediamento, se non un frammento di ceramica a vernice nera datato al secondo quarto del III sec. a.C. Ai margini del terreno sono state rinvenute delle macine discoidali piano-convesse di basalto che per le caratteristiche tipologiche possiamo attribuire all'età dell'Antico Bronzo	481527	4155395	Maria 2008		70 x 70	0.5	37.545367	14.790891	
R118	Masseria Quadararo	Paternò 	F. 269 I SO	230	Area sepolcrale	n.d.	La ricognizione dell’ampia area a O del fiume Simeto ha compreso le ampie distese pianeggianti coltivate a grano di masseria Quadararo. Un’area di frammenti (m 5 x 5) è stata identificata alla distanza di km 1 a S0 dalla masseria, in un campo arato, coltivato a frumento: fra i  pochi materiali rinvenuti, si segnala la presenza di ceramica comune, dalla cronologia non inquadrabile. A SE dalla masseria, a circa m 450 m è stata individuata una tomba a grotticella artificiale scavata sul fianco di un costone roccioso di calcare tenero e compatto: l'apertura della tomba è rivolta verso S. La grotticella è caratterizzata da un’anticella con sezione semicurva con un’alt. massima di m 0,65 e pianta rettangolare con i lati leggermente curvi di m 0,55m. di prof. e m 0,65 di larg; la cella, di pianta circolare, presenta un profilo tholoide di m 0,80 di alt. e un diametro di m 0,84 (fig. X) 	483728.25	4156423.72	Maria 2008		5 x 5	0.0025	37.554674	14.815773	
R119	Masseria Poira	Paternò 	F. 269 I SO	316	Area sepolcrale	n.d.	A SE di Centuripe, all'interno dei confini amministrativi del comune di Paternò, si estende una vasta area coltivata a grano cui fa perno la Masseria Poira; l’area è raggiungibile attraverso una strada sterrata, che si diparte dalla SP 50. La Masseria sorge su una collina a m 316 slm, sulla quale si erge l’imponente struttura, ormai in precarie conduzioni , che i contadini del luogo chiamano “Castello della Baronessa di Poira”. La ricognizione, condotta in occasione dell’aratura, ha identificato a S della masseria un’area (m 5 x 5) che comprendeva frammenti e nuclei di selce, due macine discoidali piano-convesse di basalto probabilmente databili all'età dell'antico Bronzo, così come si può ipotizzare alla luce delle analisi delle caratteristiche tipologiche. Si segnala l’esistenza ad E della masseria, una tomba isolata a grotticella artificiale scavata su un costone roccioso: la struttura della tomba è stata modificata per rendere l'ambiente utile come riparo per il bestiame. La tomba presenta una pianta circolare e una sezione a profilo curvo con un'altezza massima di m 1,90	483728	4156423	Maria 2008		5 x 5	0.0025			
